key,code,start-period,end-period,location,instructor,contact-email,link,draft-mode,key:training-module
training-session-17,TS-RE-356,2022/08/15 15:00,2022/08/25 17:30,Sevilla,Alberto,alberto@gmail.com,ftp://a,true,training-module-14
training-session-18,TS-FH-537,2022/08/15 15:00,2022/08/25 17:30,Sevilla,Alberto,alberto@gmail.com,ftp://a.b,true,training-module-15
training-session-19,TS-EG-646,2022/08/15 15:00,2022/08/25 17:30,Sevilla,Alberto,alberto@gmail.com,http://www.lorem-ipsum.org/dolor/sit/amets/consectetur/adipiscing/elits/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/,true,training-module-16
training-session-20,TS-DLJ-356,2022/08/15 15:00,2022/08/25 17:30,Sevilla,Alberto,alberto@gmail.com,http://www.lorem-ipsum.org/dolor/sit/amets/consectetur/adipiscing/elits/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X,true,training-module-17
training-session-21,TS-QGY-786,2022/08/15 15:00,2022/08/25 17:30,Sevilla,Alberto,alberto@gmail.com,,true,training-module-18
training-session-22,TS-ETH-357,2022/08/15 15:00,2022/08/25 17:30,Sevilla,Alberto,alberto@gmail.com,null,true,training-module-19
training-session-23,TS-GD-575,2022/08/15 15:00,2022/08/25 17:30,t,Alberto,a@b.c,https://hola.com,true,training-module-20
training-session-24,TS-DH-789,2022/08/15 15:00,2022/08/25 17:30,t,Alberto,a@b2.c,https://hola.com,true,training-module-01
training-session-25,TS-HD-245,2022/08/15 15:00,2022/08/25 17:30,t,Alberto,lorem.ipsum@dolor.sit.amets.consectetur.adipiscing.elits.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.esr,https://hola.com,true,training-module-02
training-session-26,TS-WWG-245,2022/08/15 15:00,2022/08/25 17:30,t,Alberto,lorem.ipsum@dolor.sit.amets.consectetur.adipiscing.elits.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.orgs,https://hola.com,true,training-module-03
training-session-27,TS-HFJ-256,2022/08/15 15:00,2022/08/22 15:00,t,Alberto,alberto@gmail.com,https://hola.com,true,training-module-09
training-session-28,TS-GDG-689,2022/08/15 15:00,2022/08/22 15:01,t,Alberto,alberto@gmail.com,https://hola.com,true,training-module-07
training-session-29,TS-KLJ-289,2022/08/13 23:59,2022/08/20 23:59,t,Alberto,alberto@gmail.com,https://hola.com,true,training-module-03
training-session-30,TS-GD-467,2022/08/14 00:00,2022/08/21 00:01,t,Alberto,alberto@gmail.com,https://hola.com,true,training-module-03
