key,enabled,identity,password,username
user-account-manager-11,true,"UserIdentity{name: 'Manager11', surname: 'Manager', email: 'manager11@acme.com'}",manager11,manager11
user-account-manager-12,true,"UserIdentity{name: 'Manager12', surname: 'Manager', email: 'manager12@acme.com'}",manager12,manager12
user-account-manager-13,true,"UserIdentity{name: 'Manager13', surname: 'Manager', email: 'manager13@acme.com'}",manager13,manager13
user-account-manager-14,true,"UserIdentity{name: 'Manager14', surname: 'Manager', email: 'manager14@acme.com'}",manager14,manager14
user-account-manager-15,true,"UserIdentity{name: 'Manager15', surname: 'Manager', email: 'manager15@acme.com'}",manager15,manager15
user-account-manager-16,true,"UserIdentity{name: 'Manager16', surname: 'Manager', email: 'manager16@acme.com'}",manager16,manager16
user-account-manager-17,true,"UserIdentity{name: 'Manager17', surname: 'Manager', email: 'a@b.es'}",manager17,manager17
user-account-manager-18,true,"UserIdentity{name: 'Manager18', surname: 'Manager', email: 'a@b.esx'}",manager18,manager18
user-account-manager-19,true,"UserIdentity{name: 'Manager19', surname: 'Manager', email: 'lorem-ipsum@dolor.sit.amets.consectetur.adipiscing.elits.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es'}",manager19,manager19
user-account-manager-20,true,"UserIdentity{name: 'Manager20', surname: 'Manager', email: 'lorem-ipsum@dolor.sit.amets.consectetur.adipiscing.elits.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.org'}",manager20,manager20
user-account-manager-21,true,"UserIdentity{name: 'Manager21', surname: 'Manager', email: 'acme-password@lorem-ipsum.org'}",manager21,manager21
user-account-manager-22,true,"UserIdentity{name: 'Manager22', surname: 'Manager', email: 'manager22@acme.com'}",manager22,manager22
user-account-manager-23,true,"UserIdentity{name: 'Manager23', surname: 'Manager', email: 'manager23@acme.com'}",manager23,manager23
user-account-manager-24,true,"UserIdentity{name: 'Manager24', surname: 'Manager', email: 'manager24@acme.com'}",manager24,manager24
user-account-manager-25,true,"UserIdentity{name: 'Manager25', surname: 'Manager', email: 'manager25@acme.com'}",manager25,manager25
user-account-manager-26,true,"UserIdentity{name: 'Manager26', surname: 'Manager', email: 'manager26@acme.com'}",manager26,manager26
user-account-manager-27,true,"UserIdentity{name: 'Manager27', surname: 'Manager', email: 'manager27@acme.com'}",manager27,manager27
user-account-manager-28,true,"UserIdentity{name: 'Manager28', surname: 'Manager', email: 'manager28@acme.com'}",manager28,manager28
user-account-manager-29,true,"UserIdentity{name: 'Manager29', surname: 'Manager', email: 'manager29@acme.com'}",manager29,manager29
user-account-manager-30,true,"UserIdentity{name: 'Manager30', surname: 'Manager', email: 'manager30@acme.com'}",manager30,manager30
user-account-manager-31,true,"UserIdentity{name: 'Manager31', surname: 'Manager', email: 'manager31@acme.com'}",manager31,manager31
user-account-manager-32,true,"UserIdentity{name: 'Manager32', surname: 'Manager', email: 'manager32@acme.com'}",manager32,manager32
user-account-manager-33,true,"UserIdentity{name: 'Manager33', surname: 'Manager', email: 'manager33@acme.com'}",manager33,manager33
user-account-manager-34,true,"UserIdentity{name: 'Manager34', surname: 'Manager', email: 'manager34@acme.com'}",manager34,manager34
user-account-manager-35,true,"UserIdentity{name: 'Manager35', surname: 'Manager', email: 'manager35@acme.com'}",manager35,manager35
user-account-manager-36,true,"UserIdentity{name: 'Manager36', surname: 'Manager', email: 'manager36@acme.com'}",manager36,manager36
user-account-manager-37,true,"UserIdentity{name: 'Manager37', surname: 'Manager', email: 'manager37@acme.com'}",manager37,manager37
user-account-manager-38,true,"UserIdentity{name: 'Manager38', surname: 'Manager', email: 'manager38@acme.com'}",manager38,manager38
user-account-manager-39,true,"UserIdentity{name: 'Manager39', surname: 'Manager', email: 'manager39@acme.com'}",manager39,manager39
user-account-manager-40,true,"UserIdentity{name: 'Manager40', surname: 'Manager', email: 'manager40@acme.com'}",manager40,manager40
user-account-manager-41,true,"UserIdentity{name: 'Manager41', surname: 'Manager', email: 'manager41@acme.com'}",manager41,manager41
user-account-manager-42,true,"UserIdentity{name: 'Manager42', surname: 'Manager', email: 'manager42@acme.com'}",manager42,manager42
user-account-manager-43,true,"UserIdentity{name: 'Manager43', surname: 'Manager', email: 'manager43@acme.com'}",manager43,manager43
user-account-manager-44,true,"UserIdentity{name: 'Manager44', surname: 'Manager', email: 'manager44@acme.com'}",manager44,manager44
user-account-client-01,true,"UserIdentity{name: 'Mike', surname: 'Client', email: 'client1@acme.com'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'William', surname: 'Client', email: 'client2@acme.com'}",client2,client2
user-account-client-03,true,"UserIdentity{name: 'Afton', surname: 'Client', email: 'client3@acme.com'}",client3,client3
user-account-client-04,true,"UserIdentity{name: 'Elizabeth', surname: 'Client', email: 'client4@acme.com'}",client4,client4
user-account-client-05,true,"UserIdentity{name: 'Henry', surname: 'Client', email: 'client5@acme.com'}",client5,client5
user-account-client-06,true,"UserIdentity{name: 'Jeremy', surname: 'Client', email: 'client6@acme.com'}",client6,client6
user-account-developer-01,true,"UserIdentity{name: 'Albert', surname: 'Developer', email: 'albert@acme.com'}",developer1,developer1
user-account-developer-02,true,"UserIdentity{name: 'Andrew', surname: 'Developer', email: 'andrew@acme.com'}",developer2,developer2
user-account-sponsor-01,true,"UserIdentity{name: 'Peter', surname: 'Sponsor', email: 'peter@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'John', surname: 'Sponsor', email: 'john@acme.com'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: 'Alice', surname: 'Sponsor', email: 'alice@acme.com'}",sponsor3,sponsor3
user-account-sponsor-04,true,"UserIdentity{name: 'Emma', surname: 'Sponsor', email: 'emma@acme.com'}",sponsor4,sponsor4
user-account-sponsor-05,true,"UserIdentity{name: 'David', surname: 'Sponsor', email: 'david@acme.com'}",sponsor5,sponsor5
user-account-sponsor-06,true,"UserIdentity{name: 'Sophia', surname: 'Sponsor', email: 'sophia@acme.com'}",sponsor6,sponsor6
user-account-sponsor-07,true,"UserIdentity{name: 'James', surname: 'Sponsor', email: 'james@acme.com'}",sponsor7,sponsor7
user-account-sponsor-08,true,"UserIdentity{name: 'Olivia', surname: 'Sponsor', email: 'olivia@acme.com'}",sponsor8,sponsor8
user-account-sponsor-09,true,"UserIdentity{name: 'William', surname: 'Sponsor', email: 'william@acme.com'}",sponsor9,sponsor9
user-account-auditor-01,true,"UserIdentity{name: 'Au', surname: 'Ditor', email: 'auditor@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Ditor', surname: 'Au', email: 'ditorau@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: '국민경제의 발전을', surname: '국민경제의 발전을', email: 'a@a.a'}",auditor3,auditor3
